"jahr,quelle,geraetekategorie,neugeraeteabsatz_stk,geraetebestand_stk,verbrauch_neugeraete_kwh,verbrauch_geraetebestand_kwh"
"2002,""FEA"",""Elektroherde und Einbaubacköfen"",268400,2907854,93030925,1327148908"
"2002,""FEA"",""Geschirrspüler"",159274,1751301,36970000,504095655"
"2002,""FEA"",""Kühlschränke"",257100,3959165,72752000,1212396436"
"2002,""FEA"",""Tiefkühlschränke"",82700,1163988,25260000,366785059"
"2002,""FEA"",""Wäschetrockner"",79146,1056823,42260000,644032024"
"2002,""FEA"",""Waschmaschinen"",148709,1702764,44896000,744843173"
"2002,""FEA"",""Waschtrockner"",NA,44681,NA,29218624"
"2002,""SWICO"",""Beamer"",27000,52851,4302451,8484575"
"2002,""SWICO"",""Drucker"",634000,2982454,33145255,212058106"
"2002,""SWICO"",""Fernsehgeräte"",382000,4091283,53543902,604045579"
"2002,""SWICO"",""Laptops"",319000,1489335,15890525,71251703"
"2002,""SWICO"",""Monitore"",660000,4403273,56336209,510377829"
"2002,""SWICO"",""Personal Computer"",627000,4350953,69387666,557891584"
"2002,""SWICO"",""Server (Small Scale)"",49000,163487,65170000,211088850"
"2002,""SWICO"",""Settop-Boxen"",110000,355500,14532694,57456326"
"2002,""SWICO"",""USV"",59000,219944,23789298,94263079"
"2002,""SWICO"",""Video/DVD/Blu-Ray"",430300,2646763,18129241,131596891"
"2003,""FEA"",""Elektroherde und Einbaubacköfen"",268196,2935680,91121806,1325789909"
"2003,""FEA"",""Geschirrspüler"",162281,1803652,37482420,504234609"
"2003,""FEA"",""Kühlschränke"",268594,4004895,73613553,1216633347"
"2003,""FEA"",""Tiefkühlschränke"",86168,1246412,25573900,392006498"
"2003,""FEA"",""Wäschetrockner"",77159,1096202,38443550,682291079"
"2003,""FEA"",""Waschmaschinen"",148481,1731625,44755115,749013393"
"2003,""FEA"",""Waschtrockner"",6248,47753,3527018,31176402"
"2003,""SWICO"",""Beamer"",35000,86743,5056838,13372171"
"2003,""SWICO"",""Drucker"",714000,3344636,33742725,214575876"
"2003,""SWICO"",""Fernsehgeräte"",359450,4039237,51649081,599276644"
"2003,""SWICO"",""Laptops"",420000,1720546,23054950,85477487"
"2003,""SWICO"",""Monitore"",740000,4386501,47897569,459382376"
"2003,""SWICO"",""Personal Computer"",697000,4293074,73384500,519379602"
"2003,""SWICO"",""Server (Small Scale)"",58000,185308,84842400,249675500"
"2003,""SWICO"",""Settop-Boxen"",90000,429300,9768276,64132287"
"2003,""SWICO"",""USV"",61000,230163,23977339,96744649"
"2003,""SWICO"",""Video/DVD/Blu-Ray"",509200,2787390,19748506,129667103"
"2004,""FEA"",""Elektroherde und Einbaubacköfen"",291269,2964520,97632855,1324838744"
"2004,""FEA"",""Geschirrspüler"",172466,1855649,39608922,504300717"
"2004,""FEA"",""Kühlschränke"",258903,4041558,68379010,1217335306"
"2004,""FEA"",""Tiefkühlschränke"",90167,1312525,25427649,410765585"
"2004,""FEA"",""Wäschetrockner"",86828,1144158,42987730,721348066"
"2004,""FEA"",""Waschmaschinen"",157900,1769982,46426883,752084713"
"2004,""FEA"",""Waschtrockner"",7102,50837,3927028,33060341"
"2004,""SWICO"",""Beamer"",38000,120390,4328726,16999995"
"2004,""SWICO"",""Drucker"",768000,3808631,33352063,222074884"
"2004,""SWICO"",""Fernsehgeräte"",377500,4008125,54568475,591966576"
"2004,""SWICO"",""Laptops"",518000,2019430,31492706,106883027"
"2004,""SWICO"",""Monitore"",800000,4414424,44251481,408337364"
"2004,""SWICO"",""Personal Computer"",789000,4337111,94209243,511108493"
"2004,""SWICO"",""Server (Small Scale)"",67000,211301,97726200,294365361"
"2004,""SWICO"",""Settop-Boxen"",95000,497100,8115337,67247398"
"2004,""SWICO"",""USV"",65000,241838,24940826,99398968"
"2004,""SWICO"",""Video/DVD/Blu-Ray"",551000,2933573,22030992,129366027"
"2005,""FEA"",""Elektroherde und Einbaubacköfen"",299947,2992235,98364138,1323381586"
"2005,""FEA"",""Geschirrspüler"",178620,1907314,40883454,504664382"
"2005,""FEA"",""Kühlschränke"",264605,4083730,66719995,1217144802"
"2005,""FEA"",""Tiefkühlschränke"",91598,1400560,24576275,435140925"
"2005,""FEA"",""Wäschetrockner"",94424,1199017,51508670,768031429"
"2005,""FEA"",""Waschmaschinen"",157561,1805712,48078700,757172016"
"2005,""FEA"",""Waschtrockner"",5745,53933,3463898,35383697"
"2005,""SWICO"",""Beamer"",43000,152452,3795269,19010526"
"2005,""SWICO"",""Drucker"",763000,4266403,30713916,228404530"
"2005,""SWICO"",""Fernsehgeräte"",437500,4038597,70654417,604553365"
"2005,""SWICO"",""Laptops"",658000,2429617,42004904,137323313"
"2005,""SWICO"",""Monitore"",854300,4499773,45751487,361319382"
"2005,""SWICO"",""Personal Computer"",834000,4448312,106785875,524356905"
"2005,""SWICO"",""Server (Small Scale)"",70000,234790,98924000,331396203"
"2005,""SWICO"",""Settop-Boxen"",95000,550500,5964100,65929940"
"2005,""SWICO"",""USV"",68000,253894,24816517,101399808"
"2005,""SWICO"",""Video/DVD/Blu-Ray"",570500,3049798,20991356,126549110"
"2006,""FEA"",""Elektroherde und Einbaubacköfen"",311379,3019808,100675775,1321550382"
"2006,""FEA"",""Geschirrspüler"",185253,1954264,42243435,504298132"
"2006,""FEA"",""Kühlschränke"",276017,4110931,68327353,1211342730"
"2006,""FEA"",""Tiefkühlschränke"",90651,1470970,23917935,453776442"
"2006,""FEA"",""Wäschetrockner"",99373,1257766,52815765,798513608"
"2006,""FEA"",""Waschmaschinen"",164330,1845458,49787760,760680029"
"2006,""FEA"",""Waschtrockner"",6394,56930,3936658,37715523"
"2006,""SWICO"",""Beamer"",50000,182168,3157870,18955524"
"2006,""SWICO"",""Drucker"",773000,4654749,27047582,227705566"
"2006,""SWICO"",""Fernsehgeräte"",490000,4117046,92315923,623056919"
"2006,""SWICO"",""Laptops"",649000,2799388,42723734,166506361"
"2006,""SWICO"",""Monitore"",759500,4501908,39482626,314226682"
"2006,""SWICO"",""Personal Computer"",724000,4461333,88481937,525479543"
"2006,""SWICO"",""Server (Small Scale)"",74500,256721,92403095,351434384"
"2006,""SWICO"",""Settop-Boxen"",238000,730700,16834055,73249576"
"2006,""SWICO"",""USV"",71500,266730,25500831,103523003"
"2006,""SWICO"",""Video/DVD/Blu-Ray"",597000,3145812,19994848,121736457"
"2007,""FEA"",""Elektroherde und Einbaubacköfen"",318717,3055951,100882780,1323713683"
"2007,""FEA"",""Geschirrspüler"",192508,2007132,43847995,506288518"
"2007,""FEA"",""Kühlschränke"",274743,4146614,65955185,1206539617"
"2007,""FEA"",""Tiefkühlschränke"",97307,1539333,24568635,470403679"
"2007,""FEA"",""Wäschetrockner"",100778,1317263,56629665,836992133"
"2007,""FEA"",""Waschmaschinen"",169333,1887074,50796630,767469345"
"2007,""FEA"",""Waschtrockner"",6110,60122,4027565,40519592"
"2007,""SWICO"",""Beamer"",50000,202947,2330220,16905065"
"2007,""SWICO"",""Drucker"",884000,5027901,25974620,220379963"
"2007,""SWICO"",""Fernsehgeräte"",570600,4265383,123107864,677307320"
"2007,""SWICO"",""Laptops"",799000,3280516,42250417,192564939"
"2007,""SWICO"",""Monitore"",791000,4549671,37799782,272855182"
"2007,""SWICO"",""Personal Computer"",695000,4442429,77257326,518844292"
"2007,""SWICO"",""Server (Small Scale)"",71000,268914,75114095,344103517"
"2007,""SWICO"",""Settop-Boxen"",430000,987200,29215861,78127645"
"2007,""SWICO"",""USV"",75100,280272,26086673,105700217"
"2007,""SWICO"",""Video/DVD/Blu-Ray"",564000,3200316,17381388,116025653"
"2008,""FEA"",""Elektroherde und Einbaubacköfen"",318743,3108434,99405821,1332862737"
"2008,""FEA"",""Geschirrspüler"",196027,2068715,44678080,511375334"
"2008,""FEA"",""Kühlschränke"",279222,4200424,64391323,1204184923"
"2008,""FEA"",""Tiefkühlschränke"",96481,1625724,22994515,491107783"
"2008,""FEA"",""Wäschetrockner"",105810,1379830,56180375,876821479"
"2008,""FEA"",""Waschmaschinen"",175340,1932085,48475930,773118380"
"2008,""FEA"",""Waschtrockner"",6338,63611,4068143,43469844"
"2008,""SWICO"",""Beamer"",48500,215791,2097123,14335099"
"2008,""SWICO"",""Drucker"",759000,5161983,16900299,199924101"
"2008,""SWICO"",""Fernsehgeräte"",658000,4453951,148224037,758173921"
"2008,""SWICO"",""Laptops"",994000,3903588,29330201,201897109"
"2008,""SWICO"",""Monitore"",710000,4525403,31299821,244637871"
"2008,""SWICO"",""Personal Computer"",726000,4447788,71987706,508194370"
"2008,""SWICO"",""Server (Small Scale)"",71000,275453,69856372,324965887"
"2008,""SWICO"",""Settop-Boxen"",370000,1193400,26602383,85399108"
"2008,""SWICO"",""USV"",78600,294199,26554017,107894087"
"2008,""SWICO"",""Video/DVD/Blu-Ray"",488000,3193662,11616717,106628294"
"2009,""FEA"",""Elektroherde und Einbaubacköfen"",311299,3162364,95630596,1343404386"
"2009,""FEA"",""Geschirrspüler"",196369,2135172,44211835,518034904"
"2009,""FEA"",""Kühlschränke"",272749,4262834,61450615,1203662384"
"2009,""FEA"",""Tiefkühlschränke"",100835,1704278,23451845,508508989"
"2009,""FEA"",""Wäschetrockner"",102617,1438078,52619190,912413659"
"2009,""FEA"",""Waschmaschinen"",174417,1973018,46566510,777030195"
"2009,""FEA"",""Waschtrockner"",6441,67294,4037938,46342914"
"2009,""SWICO"",""Beamer"",43000,218767,1667839,11845320"
"2009,""SWICO"",""Drucker"",719000,5178445,13389662,174784562"
"2009,""SWICO"",""Fernsehgeräte"",725000,4598090,120459701,797720049"
"2009,""SWICO"",""Laptops"",1155000,4614036,30453029,206881859"
"2009,""SWICO"",""Monitore"",670000,4452266,22973208,215154178"
"2009,""SWICO"",""Personal Computer"",632000,4346701,55669254,479244544"
"2009,""SWICO"",""Server (Small Scale)"",56000,262973,47844580,283128853"
"2009,""SWICO"",""Settop-Boxen"",531252,1554500,42233260,113850159"
"2009,""SWICO"",""Slate Computer (Tablets)"",12480,12480,179733,179733"
"2009,""SWICO"",""USV"",82500,308722,27200491,110247510"
"2009,""SWICO"",""Video/DVD/Blu-Ray"",450000,3136292,8921832,95377760"
"2010,""FEA"",""Elektroherde und Einbaubacköfen"",326187,3206548,98707806,1349407203"
"2010,""FEA"",""Geschirrspüler"",210520,2199213,46877505,524411752"
"2010,""FEA"",""Kühlschränke"",291092,4314399,62646627,1196473742"
"2010,""FEA"",""Tiefkühlschränke"",99918,1776989,22409485,523266374"
"2010,""FEA"",""Wäschetrockner"",112767,1505838,55767620,945727515"
"2010,""FEA"",""Waschmaschinen"",181612,2018545,46802085,778175275"
"2010,""FEA"",""Waschtrockner"",7514,70944,4669860,49215340"
"2010,""SWICO"",""Beamer"",52000,225623,2614188,10903893"
"2010,""SWICO"",""Drucker"",746000,5180239,13507055,151159772"
"2010,""SWICO"",""Fernsehgeräte"",865000,4876464,126634621,810608691"
"2010,""SWICO"",""Laptops"",1412000,5491912,35474960,210506640"
"2010,""SWICO"",""Monitore"",670000,4381182,35872566,208179333"
"2010,""SWICO"",""Personal Computer"",701000,4299953,61384944,452112192"
"2010,""SWICO"",""Server (Small Scale)"",58000,250905,39920131,238374471"
"2010,""SWICO"",""Settop-Boxen"",435743,1794100,36550425,136783631"
"2010,""SWICO"",""Slate Computer (Tablets)"",133000,145447,1663764,1843071"
"2010,""SWICO"",""USV"",86600,323924,27851497,112733360"
"2010,""SWICO"",""Video/DVD/Blu-Ray"",480000,3076611,9023786,84044241"
"2011,""FEA"",""Elektroherde und Einbaubacköfen"",326873,3250584,98119830,1356256000"
"2011,""FEA"",""Geschirrspüler"",210647,2264348,46170920,531204724"
"2011,""FEA"",""Kühlschränke"",294560,4371678,61094789,1188960816"
"2011,""FEA"",""Tiefkühlschränke"",103316,1809390,21614255,524140690"
"2011,""FEA"",""Wäschetrockner"",115536,1574601,46965685,962041017"
"2011,""FEA"",""Waschmaschinen"",184028,2063194,46150570,777926769"
"2011,""FEA"",""Waschtrockner"",8193,74259,4166018,50717418"
"2011,""SWICO"",""Beamer"",59000,235453,2821791,10833144"
"2011,""SWICO"",""Drucker"",787000,5214609,18613647,135969181"
"2011,""SWICO"",""Fernsehgeräte"",878000,5152400,98522801,773386275"
"2011,""SWICO"",""Laptops"",1374000,6236435,31187198,204694103"
"2011,""SWICO"",""Monitore"",702830,4294503,36872216,205353510"
"2011,""SWICO"",""Personal Computer"",697000,4247986,58356499,420775176"
"2011,""SWICO"",""Server (Small Scale)"",65000,247253,47318419,210490037"
"2011,""SWICO"",""Settop-Boxen"",390936,1899000,32178908,148879522"
"2011,""SWICO"",""Slate Computer (Tablets)"",416000,560753,4400382,6234930"
"2011,""SWICO"",""USV"",90900,339894,28626019,115412603"
"2011,""SWICO"",""Video/DVD/Blu-Ray"",460000,2974848,8272141,71997331"
"2012,""FEA"",""Elektroherde und Einbaubacköfen"",339068,3294836,100212565,1365094549"
"2012,""FEA"",""Geschirrspüler"",216208,2330521,47684599,539627811"
"2012,""FEA"",""Kühlschränke"",297916,4429224,58925996,1178543078"
"2012,""FEA"",""Tiefkühlschränke"",101586,1842096,20611025,524778238"
"2012,""FEA"",""Wäschetrockner"",109252,1633992,32227700,965314816"
"2012,""FEA"",""Waschmaschinen"",184168,2104485,37262992,765540731"
"2012,""FEA"",""Waschtrockner"",9619,77638,4470955,51606314"
"2012,""SWICO"",""Beamer"",66000,252332,3154600,11684377"
"2012,""SWICO"",""Drucker"",790000,5256972,17358740,123721024"
"2012,""SWICO"",""Fernsehgeräte"",838500,5245080,86677818,739253885"
"2012,""SWICO"",""Laptops"",1095000,6602179,22575647,188386717"
"2012,""SWICO"",""Monitore"",674000,4174805,36151389,204612911"
